business_name,phone,address,website,rating,review_count,place_id,query_source,date_pulled
A&A Auto Glass Discounters & Body Shop,(713) 984-9006,2011 Gessner Road Houston TX 77080,https://autoglassdiscounter.com/,,,osm:node:5868360702,osm overpass car_repair in Houston,2026-09-14
Express Oil Change & Tire Engineers,(281) 316-3348,1315 East League City Parkway League City TX 77573,http://www.autoservicesleaguecity.com,,,osm:node:5918673832,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 427-6775,1700 Decker Drive Baytown TX 77520,,,,osm:node:6173719216,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 571-4083,11310 Barker Cypress Road Cypress TX 77433,,,,osm:node:6186964377,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(713) 977-1292,10700 Westheimer Road Houston TX 77042,,,,osm:node:6244623737,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 580-1381,7325 Cypress Creek Parkway Houston TX 77070,,,,osm:node:6268238640,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(713) 944-4126,3747 South Shaver Street Pasadena TX 77504,,,,osm:node:6299850831,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(713) 472-5903,514 Southmore Avenue Pasadena TX 77502,,,,osm:node:6299868229,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 479-6427,7304 Spencer Highway Pasadena TX 77505,,,,osm:node:6299928987,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(713) 451-9690,11500 East Freeway Houston TX 77029,,,,osm:node:6300489970,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(713) 465-0064,9131 Long Point Road Houston TX 77080,,,,osm:node:6311884214,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 350-2058,23221 Aldine Westfield Road Spring TX 77373,,,,osm:node:6378705272,osm overpass car_repair in Houston,2026-09-14
Professional Auto Care,(713) 270-0474,9916 Honeywell Houston TX 77074,https://professionalautocare.com/,,,osm:node:7073041175,osm overpass car_repair in Houston,2026-09-14
Valvoline,(281) 306-2197,11745 North Grand Parkway East New Caney TX 77357,https://store.vioc.com/tx/newcaney/oil-change-070058.html,,,osm:node:7091781546,osm overpass car_repair in Houston,2026-09-14
Yes! Automotive,(281) 358-9355,24608 TX-494 Loop Porter TX 77365,https://www.mytransmissionexperts.com/locations/kingwood/,,,osm:node:7326826370,osm overpass car_repair in Houston,2026-09-14
Texas Dent Repair,(281) 668-4400,18703 West Little York Road Houston TX,,,,osm:node:7836065464,osm overpass car_repair in Houston,2026-09-14
Blue Diamond Auto Glass,(832) 773-2220,9850 Westpark Drive Houston TX 77063,https://bluediamondautoglass.com/,,,osm:node:8342303690,osm overpass car_repair in Houston,2026-09-14
Able Auto Glass,(713) 383-8055,2311 Naomi Street Houston TX 77054,https://www.ableautoglass.com,,,osm:node:8522169454,osm overpass car_repair in Houston,2026-09-14
Fox Towing and Recovery,(713) 474-3228,14027 Memorial Drive Houston TX 77079,https://foxtowingandrecovery.com/,,,osm:node:8982631501,osm overpass car_repair in Houston,2026-09-14
New Era Auto Repair,(832) 419-6947,Houston,,,,osm:node:9252405048,osm overpass car_repair in Houston,2026-09-14
Foster's Automotive Service,(713) 228-2385,3909 Polk Street Houston TX 77023,https://fostersautomotiveservice.com,,,osm:node:9679505541,osm overpass car_repair in Houston,2026-09-14
Wilson Glass Tint,(713) 726-9172,11436 South Post Oak Road Houston TX 77035,http://www.wilsonglasstint.com,,,osm:node:10089858328,osm overpass car_repair in Houston,2026-09-14
Clifford's Car Care,(281) 952-7114,Houston,,,,osm:node:10571686430,osm overpass car_repair in Houston,2026-09-14
Pedro's Tire Shop,(832) 876-3728,1802 North Main Street Houston TX,,,,osm:node:10652197069,osm overpass car_repair in Houston,2026-09-14
Yes! Automotive,(281) 801-8010,3443 FM 2920 Spring TX 77388,https://www.yesautomotiveservices.com/,,,osm:node:11009761322,osm overpass car_repair in Houston,2026-09-14
Veteran's Auto Center,(281) 580-1565,11239 Veterans Memorial Dr Houston TX 77067,https://veteransautorepairtx.com,,,osm:node:11274975539,osm overpass car_repair in Houston,2026-09-14
Benjamin's Automotive,(281) 291-9823,2830 East NASA Parkway Seabrook TX 77586,https://benjaminsautomotive.com,,,osm:node:11375239406,osm overpass car_repair in Houston,2026-09-14
Firestone Complete Auto Care,(713) 401-3948,13714 East Freeway Houston 77015,,,,osm:node:11383121169,osm overpass car_repair in Houston,2026-09-14
Tullos Collision,(281) 399-3903,Houston,,,,osm:node:11699239650,osm overpass car_repair in Houston,2026-09-14
Executive Automotive Service & Transmission,(281) 689-8149,Houston,,,,osm:node:11699244183,osm overpass car_repair in Houston,2026-09-14
NTB-National Tire & Battery,(281) 214-9310,11041 East Freeway Houston 77029,https://www.mavis.com/locations/houston-east-fwy-tx/,,,osm:node:12413960201,osm overpass car_repair in Houston,2026-09-14
Firestone,(281) 201-0725,3815 State Highway 6 South Sugar Land TX 77478,https://www.firestonecompleteautocare.com/texas/sugar-land/3815-hwy-6/,,,osm:node:12525168174,osm overpass car_repair in Houston,2026-09-14
Specialized Truck and Auto,(281) 883-8362,15520 Lee Rd Humble TX 77396,https://specializedtruckandauto.com/,,,osm:node:12551345215,osm overpass car_repair in Houston,2026-09-14
Kwik n Kleen,(281) 489-3810,7520 Russell Street Houston 77578,,,,osm:node:12900324901,osm overpass car_repair in Houston,2026-09-14
Circle D Transmission,(713) 895-7019,13706 Hempstead Road Houston TX 77040,https://circledtrans.com/,,,osm:node:13188919074,osm overpass car_repair in Houston,2026-09-14
Wilo's collision,(832) 646-0828,23340 FM 1314 Porter TX 77365-4745,,,,osm:node:13507210443,osm overpass car_repair in Houston,2026-09-14
Christian Brothers Automotive Spring,(281) 528-1861,2655 Rayford Road Spring TX 77386,,,,osm:node:13525580893,osm overpass car_repair in Houston,2026-09-14
Harris Window Tinting,(832) 429-5390,2676 Center Street Deer Park TX 77536,https://www.harriswindowtinting.com/,,,osm:node:13545051686,osm overpass car_repair in Houston,2026-09-14
Tintn,(832) 632-8493,2809 Calder Drive League City TX 77573,https://windowtintn.com/,,,osm:node:13595571139,osm overpass car_repair in Houston,2026-09-14
Cars and Coffee Garage,(713) 635-9959,Houston,https://carsandcoffeegarage.com/,,,osm:node:13618520441,osm overpass car_repair in Houston,2026-09-14
Mcs Automotive,(281) 217-6306,6529 Cunningham Road Houston TX 77041,,,,osm:node:13625342237,osm overpass car_repair in Houston,2026-09-14
Hinds and Hinds Services,(346) 420-8714,11430 Bissonnet Street Houston TX 77099-1992,https://dandmqualitygraphics.wixsite.com/auto,,,osm:node:13634850700,osm overpass car_repair in Houston,2026-09-14
The Wrap Empire,(979) 398-4958,4709 Highway 36 South Rosenberg TX 77471,https://thewrapempire.com/,,,osm:node:13647320664,osm overpass car_repair in Houston,2026-09-14
AutoTint Houston,(346) 552-4836,99D Isaacks Road Humble TX 77338,https://autotinthouston713.com/,,,osm:node:13648333394,osm overpass car_repair in Houston,2026-09-14
Galaxy Drive Garage,(832) 557-6388,18004 State Highway 3 Webster TX 77598,https://www.galaxydrivegaragetx.com/,,,osm:node:13664581963,osm overpass car_repair in Houston,2026-09-14
A Plus Transmission Specialists,(281) 202-0023,27857 Southwest Freeway Rosenberg TX 77471,https://aplustransmissions.com/locations/houston/rosenberg/,,,osm:node:13681785362,osm overpass car_repair in Houston,2026-09-14
Braga Truck Center,(346) 500-8083,12521 Green River Drive Houston TX 77044,,,,osm:node:13720721866,osm overpass car_repair in Houston,2026-09-14
Atlas Auto Glass,(713) 520-0726,11033 Tower Oaks Boulevard Houston TX 77065,https://atlasautoglass.com,,,osm:node:13727312764,osm overpass car_repair in Houston,2026-09-14
Atlas Auto Glass,(713) 640-1844,8070 Moline Street Houston TX 77087-4601,https://atlasautoglass.com,,,osm:node:13727422208,osm overpass car_repair in Houston,2026-09-14
Atlas Auto Glass,(713) 520-1844,505 Fairview Street Houston TX 77006-2901,https://atlasautoglass.com,,,osm:node:13727426457,osm overpass car_repair in Houston,2026-09-14
Atlas Auto Glass,(713) 658-1754,1712 West Dallas Street Houston TX 77019-4582,https://atlasautoglass.com,,,osm:node:13727944706,osm overpass car_repair in Houston,2026-09-14
One Stop Auto Services,(281) 564-3333,9545 B Hwy 6 S Houston TX 77083,https://1stopas.com,,,osm:node:13800983069,osm overpass car_repair in Houston,2026-09-14
Sun Auto Service,(281) 852-3677,7625 FM 1960 Humble TX 77346,https://www.sunautoservice.com/locations/tx/humble/auto-repair-7625-fm-1960-rd,,,osm:node:13812480200,osm overpass car_repair in Houston,2026-09-14
Mechanic Electric Latin Shop,(832) 997-8893,9525 Boone Road Houston TX 77099-2059,,,,osm:node:13832141209,osm overpass car_repair in Houston,2026-09-14
Jay The Wrap Specialist,(346) 245-4998,10555 Synott Road Sugar Land TX 77498,https://jaythewrapspecialist.com/,,,osm:node:13859694721,osm overpass car_repair in Houston,2026-09-14
Advanced Tech Automotive,(281) 446-4400,Houston,,,,osm:node:13897458979,osm overpass car_repair in Houston,2026-09-14
Northside Auto Glass,(281) 540-9000,Houston,,,,osm:node:13897458981,osm overpass car_repair in Houston,2026-09-14
Super Tires,(832) 283-3744,Houston,,,,osm:node:13897508539,osm overpass car_repair in Houston,2026-09-14
World Wide Tires,(713) 921-3111,3351 Rauch Street Houston TX 77029,https://www.rushenterprises.com/world-wide-tires,,,osm:node:14022768150,osm overpass car_repair in Houston,2026-09-14
Sugarland Car Care,(713) 391-6552,1210 Eldridge Road Sugar Land TX 77478-2816,https://www.locksmith-sugar-land.com/,,,osm:node:14075596767,osm overpass car_repair in Houston,2026-09-14
Dee's Tire & Auto,(281) 494-3337,1723 Eldridge Road Sugar Land TX 77478-2568,,,,osm:node:14075603423,osm overpass car_repair in Houston,2026-09-14
Instaclear Customs,(346) 677-0182,1146 Sheffield Boulevard Houston TX 77015-5629,,,,osm:node:14145020970,osm overpass car_repair in Houston,2026-09-14
Five Star Automotive & Collision,(346) 205-5525,2121 Brittmoore Road Houston TX 77043,https://www.myfivestarauto.com,,,osm:node:14145032963,osm overpass car_repair in Houston,2026-09-14
Instaclear Customs,(832) 428-9307,6638 Ledbetter Street Houston TX 77087-6420,,,,osm:node:14145041291,osm overpass car_repair in Houston,2026-09-14
Walmart Auto Care Center,(281) 479-9362,Houston,,,,osm:node:14174295694,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(713) 946-8683,9014 Gulf Freeway Houston TX 77017,,,,osm:way:45543036,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(713) 910-3873,10250 Almeda-Genoa Road Houston TX 77075,,,,osm:way:46676689,osm overpass car_repair in Houston,2026-09-14
America's Xtreme Auto,(832) 553-0010,7200 Gulf Freeway Houston TX 77017,https://www.axautostx.com/,,,osm:way:46911600,osm overpass car_repair in Houston,2026-09-14
Jiffy Lube,(713) 789-8434,9666 Westheimer Road Houston TX 77063,https://www.jiffylube.com/locations/tx/houston/1682,,,osm:way:50424507,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(936) 321-6351,18361 Interstate 45 South Shenandoah TX 77385,,,,osm:way:121502610,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(713) 939-1826,13494 Northwest Freeway Houston TX 77040,,,,osm:way:130655747,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 498-8221,11950 Southwest Freeway Meadows Place TX 77477,,,,osm:way:155989656,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 839-1100,5219 Garth Road Baytown TX 77521,,,,osm:way:261792908,osm overpass car_repair in Houston,2026-09-14
Kwik Kar Lube & Tune,(713) 869-9008,2710 Washington Avenue Houston TX 77007,http://kwikkarofhouston.com/,,,osm:way:312638529,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 812-0592,7424 FM 1960 East;Farm to Market 1960 East Humble TX 77346,,,,osm:way:317469413,osm overpass car_repair in Houston,2026-09-14
Taylor Tire And Automotive,(281) 353-5446,1136 Spring Cypress Road Spring TX 77373,https://www.taylortireandauto.com,,,osm:way:317921315,osm overpass car_repair in Houston,2026-09-14
Rapid Auto Towing & Tires,(954) 638-1439,1024 Spring Cypress Road Spring TX 77373,,,,osm:way:317921321,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(713) 697-9319,4950 North Freeway Houston TX 77022,,,,osm:way:318064392,osm overpass car_repair in Houston,2026-09-14
A&A Auto Repair,(713) 692-2356,10111 Bauman Road Houston TX 77076,,,,osm:way:318093797,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 260-0982,10727 North Freeway Houston TX 77037,,,,osm:way:318313968,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(713) 861-9747,1902 East T C Jester Boulevard Houston TX 77008,,,,osm:way:371611875,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(713) 432-0014,9402 Stella Link Road Houston TX 77025,,,,osm:way:378145849,osm overpass car_repair in Houston,2026-09-14
CarTalk Repair,(832) 925-8353,5211 Spruce Street Bellaire TX 77401,http://www.cartalkrepair.com,,,osm:way:379464624,osm overpass car_repair in Houston,2026-09-14
West Lake Houston Automotive,(281) 975-4068,3221 West Lake Houston Parkway Kingwood TX 77339,https://www.westlakehoustonautomotive.com/,,,osm:way:385657102,osm overpass car_repair in Houston,2026-09-14
Crash Champions,(281) 675-8000,Houston,https://crashchampions.com/locations/crash-champions-katy,,,osm:way:388388993,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 398-8295,21825 Katy Freeway Katy TX 77450,,,,osm:way:388932379,osm overpass car_repair in Houston,2026-09-14
Meyerland Collision,(713) 729-2400,10532 South Post Oak Road Houston TX 77035,https://meyerlandcollision.com,,,osm:way:396536316,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(713) 668-7899,2990 South Loop West Houston TX 77054,,,,osm:way:396566195,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 558-0591,11512 Katy Freeway Frontage Road Houston TX 77043,,,,osm:way:417769493,osm overpass car_repair in Houston,2026-09-14
National Tire and Battery,(281) 601-4008,22180 Farris Green Road Porter TX 77365,https://www.ntb.com/store/tx/porter/22180-farris-green-rd-77365/4505,,,osm:way:426000974,osm overpass car_repair in Houston,2026-09-14
Brake and Tire Check,(281) 362-0644,4129 State Highway 6 South Sugar Land TX 77479,,,,osm:way:427273481,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 565-2005,4507 State Highway 6 South Sugar Land TX 77478,,,,osm:way:427273498,osm overpass car_repair in Houston,2026-09-14
Ryan Automotive Glass & Collision Center Inc,(713) 552-3602,716 Fairview Street Houston TX 77006,https://ryanautoglass.com,,,osm:way:428095784,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 540-1803,20130 Eastex Freeway Humble TX 77338,,,,osm:way:428829802,osm overpass car_repair in Houston,2026-09-14
1463 Auto Repair LLC,(281) 574-3436,1260 FM 1463 Katy TX 77494,,,,osm:way:480968726,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 412-6070,2832 East Broadway Street Pearland TX 77581,,,,osm:way:520267804,osm overpass car_repair in Houston,2026-09-14
Snider Transmission,(281) 485-0430,4010 West Broadway Street Pearland TX 77581,https://snidertransmissionpearlandtx.com/,,,osm:way:520280246,osm overpass car_repair in Houston,2026-09-14
Kwik Kar Lube,(281) 534-2271,551 FM 517 W Dickinson TX 77539,https://kwikkaronline.com/,,,osm:way:520366458,osm overpass car_repair in Houston,2026-09-14
My Transmission Experts,(281) 550-2249,5608 North Highway 6 Houston TX 77084,https://www.mytransmissionexperts.com/locations/bear-creek-copperfield/,,,osm:way:520598674,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 859-6151,4511 North Highway 6 Houston TX 77084,,,,osm:way:520598915,osm overpass car_repair in Houston,2026-09-14
Valvoline,(281) 290-8200,1140 West Main Street Tomball TX 77375,https://store.vioc.com/tx/tomball/oil-change-070086.html,,,osm:way:521298471,osm overpass car_repair in Houston,2026-09-14
Classic Collision,(832) 484-8888,1603 Hicks Street Tomball TX 77375,https://classiccollision.com/locations/classic-collision-tomball,,,osm:way:521298606,osm overpass car_repair in Houston,2026-09-14
Chase's Collision Repair,(281) 353-2470,5904 Spring Stuebner Road Spring TX 77389,,,,osm:way:521352622,osm overpass car_repair in Houston,2026-09-14
Firestone,(281) 374-4708,6024 FM 2920 Spring TX 77379,https://local.firestonecompleteautocare.com/texas/spring/6024-farm-to-market-2920,,,osm:way:521352671,osm overpass car_repair in Houston,2026-09-14
Pep Boys,(281) 859-8999,6900 North Highway 6 Houston TX 77084,https://www.pepboys.com/stores/tx/houston/6900-hwy-6-north?Cid=gbp_appt_AN:PB%7CPB:G%7CTT:GBP%7CCG:CONVERSION%7CCD:SERVICE,,,osm:way:521634519,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 345-4600,6602 North Highway 6 Houston TX 77084,,,,osm:way:521634525,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 320-2770,6510 FM 2920 Spring TX 77379,,,,osm:way:568602114,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 554-7093,117 North Gulf Freeway League City TX 77573,,,,osm:way:580545426,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 232-3283,5757 West Grand Parkway South Richmond TX 77407,,,,osm:way:608469070,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(713) 436-6045,10331 West Broadway Street Pearland TX 77584,,,,osm:way:630062559,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 993-5225,1555 South Friendswood Drive Friendswood TX 77546,,,,osm:way:666367768,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 392-5444,24202 Cinco Ranch Boulevard Katy TX 77494,https://www.discounttire.com,,,osm:way:667219555,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 574-3878,25214 Market Place Drive Katy TX 77494,,,,osm:way:667220458,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 500-7875,5818 North Fry Road Katy TX 77449,,,,osm:way:667221461,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 476-9524,8902 Spencer Highway La Porte TX 77571,https://www.discounttire.com/store/tx/la-porte/s/1601,,,osm:way:667235756,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 848-1492,1655 Texas Parkway Missouri City TX 77489,,,,osm:way:669049939,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 778-5366,9440 Alvin Sugarland Road Missouri City TX 77459,,,,osm:way:669050062,osm overpass car_repair in Houston,2026-09-14
American Engines,(713) 697-8232,5624 Airline Drive Houston TX,,,,osm:way:669110738,osm overpass car_repair in Houston,2026-09-14
Granado's Tire Shop,(832) 804-7096,6030 Airline Drive Houston,,,,osm:way:670983987,osm overpass car_repair in Houston,2026-09-14
Sapon Motors,(713) 742-5200,1201 Crosstimbers Street Houston TX,,,,osm:way:671287969,osm overpass car_repair in Houston,2026-09-14
Meineke Car Care Center,(281) 377-3371,4448 Cypress Creek Parkway Houston TX 77068,https://www.meineke.com/locations/tx/houston-4327/,,,osm:way:671979731,osm overpass car_repair in Houston,2026-09-14
Oilspot,(281) 587-1611,4303 Cypress Creek Parkway Houston TX 77068,,,,osm:way:671979758,osm overpass car_repair in Houston,2026-09-14
Take 5 Oil Change,(832) 263-8116,4081 Cypress Creek Parkway Houston TX 77068,https://www.take5oilchange.com/locations/tx/houston-640/,,,osm:way:671985492,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 590-1211,12211 Eastex Freeway Houston TX 77039,,,,osm:way:673666566,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 920-3669,13205 Briar Forest Drive Houston TX 77077,,,,osm:way:673667263,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 568-0063,14300 Bellaire Boulevard Houston TX 77083,,,,osm:way:673674337,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 443-2288,16004 North Freeway Houston TX 77090,,,,osm:way:673675650,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 558-4406,2300 South Highway 6 Houston TX 77077,,,,osm:way:673724849,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(713) 529-4865,2927 Southwest Freeway Houston TX 77098,,,,osm:way:673726817,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(713) 683-6618,5111 Antoine Drive Houston TX 77092,,,,osm:way:673771015,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 457-2044,5740 East Sam Houston Parkway North Houston TX 77015,,,,osm:way:673994180,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(713) 270-5001,7931 Southwest Freeway Frontage Road Houston TX 77074,,,,osm:way:673994573,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(713) 779-7243,8598 West Bellfort Street Houston TX 77071,,,,osm:way:673996470,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 890-1373,9415 FM 1960 West Houston TX 77070,,,,osm:way:674291057,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 807-4044,9550 Jones Road Houston TX 77065,,,,osm:way:674291590,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 232-9906,27950 Southwest Freeway Rosenberg TX 77471,,,,osm:way:676446007,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 257-9555,4918 Louetta Road Spring TX 77379,,,,osm:way:681164308,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 565-0496,10205 Highway 6 South Sugar Land TX 77498,,,,osm:way:681165866,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(832) 935-6018,7620 Hwy 90A Sugar Land TX 77478,,,,osm:way:681170979,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(409) 986-8284,9650 Emmett F Lowry Expressway Texas City TX 77591,,,,osm:way:683569280,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 367-9875,24915 Interstate 45 North Woodlands TX 77380,,,,osm:way:683570872,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 290-7091,14239 FM 2920 Tomball TX 77377,,,,osm:way:683603690,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 338-2807,707 West Bay Area Boulevard Webster TX 77598,,,,osm:way:683633551,osm overpass car_repair in Houston,2026-09-14
Auto Service Express,(713) 742-0894,10103 Bauman Road Houston TX,,,,osm:way:685024590,osm overpass car_repair in Houston,2026-09-14
Express Oil Change & Tire Engineers,(281) 528-8878,2144 FM 2920 Spring TX 77388,https://www.expressoil.com/stores/spring/tx/1020/,,,osm:way:707043800,osm overpass car_repair in Houston,2026-09-14
Brake Check,(281) 528-6554,5913 FM 2920 Spring TX 77388,https://brakecheck.com/spring-fm-2920-rd-kuykendahl-rd-550,,,osm:way:707043816,osm overpass car_repair in Houston,2026-09-14
National Tire and Battery,(281) 402-9416,6015 FM 2920 Spring TX 77379,https://www.ntb.com/store/tx/spring/6015-fm-2920-rd-77379/4513,,,osm:way:707043834,osm overpass car_repair in Houston,2026-09-14
Crash Champions,(281) 350-4200,23530 North Freeway Spring TX 77373,https://crashchampions.com/locations/crash-champions-spring,,,osm:way:707274037,osm overpass car_repair in Houston,2026-09-14
Fulshear Tire & Automotive,(281) 392-5552,2945 FM 1463 Katy TX 77494,,,,osm:way:725881149,osm overpass car_repair in Houston,2026-09-14
Christian Brothers Automotive,(281) 502-8964,27210 Northwest Freeway Cypress TX 77433,,,,osm:way:740010548,osm overpass car_repair in Houston,2026-09-14
Express Oil Change & Tire Engineers,(346) 301-5899,22723 Morton Ranch Road Katy TX 77449,https://www.expressoil.com/stores/katy/tx/1024/,,,osm:way:748668384,osm overpass car_repair in Houston,2026-09-14
Auto Check,(281) 497-7700,13423 Briar Forest Drive Houston TX 77077,https://autocheck.net/,,,osm:way:834041960,osm overpass car_repair in Houston,2026-09-14
Discount Tire,(281) 256-7250,17326 Spring Cypress Road Cypress TX 77429,,,,osm:way:881458903,osm overpass car_repair in Houston,2026-09-14
Chamo Tire,(713) 981-9430,7634 Clarewood Drive Houston TX 77036,,,,osm:way:910770846,osm overpass car_repair in Houston,2026-09-14
My Transmission Experts,(281) 612-8948,11729 Jones Road Houston TX 77070,https://www.mytransmissionexperts.com/locations/cypress-jones-road/,,,osm:way:910999792,osm overpass car_repair in Houston,2026-09-14
Jia Auto Care,(713) 790-9672,8547 Almeda Road Houston TX 77054,,,,osm:way:917522053,osm overpass car_repair in Houston,2026-09-14
